exchange,instrument_type,total,fyers,shoonya,angelone,dhan,kite,upstox,groww
BFO,FUT,625,57,625,625,619,15,18,15
BFO,OPT,57108,14292,55994,55994,55486,11208,11208,10744
BSE,EQ,26027,17898,17823,16770,17431,17915,17869,12381
BSE,IDX,120,0,0,73,106,0,57,0
MCX,COMDTY,398,0,0,398,0,0,0,0
MCX,EQ,11,0,0,0,0,11,0,0
MCX,FUT,298,292,292,292,292,292,292,290
MCX,IDX,17,0,0,17,0,0,0,0
MCX,OPT,51268,44800,43488,44800,44800,44800,44800,48792
NFO,FUT,1518,1279,1297,1297,1297,1279,1279,1090
NFO,OPT,171781,132265,132265,79672,102216,79670,79672,128287
NSE,BL,15,0,15,0,0,0,0,0
NSE,EQ,19405,17080,16983,16921,16928,17295,16827,6920
NSE,FUT,132,0,0,0,0,0,0,132
NSE,IDX,231,0,0,127,136,0,155,25
NSE,OPT,41958,0,0,0,34330,31,0,41700
